標誌,ID,人物,位置,內容,跳轉
#,0,艾比,右,怎麼會...我竟然會敗給這種低等概念...,1
#,1,我,左,一切，都結束了!,2
#,2,腦中的聲音,右,等等!,3
#,3,腦中的聲音,右,雖然小姐做了很多錯事，但請您留步!,4
#,4,腦中的聲音,右,ShowEnemy,5
#,5,懷斯,右,能否請您先聽我說個故事呢?,6
#,6,我,左,救下我並指引我到這裡的，竟然是你!?,7
#,7,懷斯,右,從前...有個小女孩，天資聰穎又善良可愛。,8
#,8,懷斯,右,但是這樣的女孩卻擁有著名為"恐懼"概念的能力。,9
#,9,懷斯,右,朋友們害怕她，同學們厭惡她。,10
#,10,懷斯,右,就連父母也畏懼她所擁有的力量。,11
#,11,懷斯,右,女孩從小就被交給家裡的管家照顧，陪伴她的只有管家和家中的一個玩具箱。,12
#,12,懷斯,右,玩具不會畏懼她，玩具不會討厭她。,13
#,13,懷斯,右,在玩具的世界，她是如此的幸福。,14
#,14,懷斯,右,而另一個世界...,15
#,15,懷斯,右,一個拒絕了她的世界。,16
#,16,懷斯,右,便不被需要了。,17
#,17,我,左,那我能為她做什麼事嗎?,18
#,18,懷斯,右,總而言之，能請你成為小姐的朋友嗎?,19
#,19,艾比,右,姐姐要當艾比的朋友嗎?,20
#,20,我,左,是沒什麼問題啦，但是這樣就好了嗎?,21
#,21,艾比,右,放心，雖然你的概念能力很弱，但是艾比不會嫌棄你的!,22
#,22,懷斯,右,小姐不善於表達，還請見諒。,23
#,23,我,左,艾比，可以把城裡的番茄跟人偶帶回來嗎?,24
#,24,艾比,右,可是城裡的人都很討人厭...,25
#,25,我,左,我也是城裡的人喔，你很討厭我嗎?,26
#,26,艾比,右,我沒有討厭姐姐，姐姐不要討厭我。,27
#,27,我,左,城裡雖然有很多討厭的人，但也有很多像姐姐一樣的人。,28
#,28,我,左,而且用仇恨去對抗仇恨，只會讓它繼續延續下去。,29
#,29,艾比,右,那...好吧...,30
#,30,懷斯,右,謝謝您!果然選擇您是正確的!,31
#,31,我,左,話說，明明艾比性格這麼好，為什麼大家只因為她的概念就討厭她呢?,32
#,32,懷斯,右,不需要的概念就回爐重造，重鑄世界的使者。,33
#,33,懷斯,右,這些人自稱為"重鑄者"，他們在各地宣傳他們的思想。,34
#,34,懷斯,右,而有群人為了對抗他們，隱藏了自己的身分，穿梭在世界各地。,35
#,35,懷斯,右,他們保護概念甚至找回概念，他們的名字叫做"鐫刻者"。,36
#,36,懷斯,右,抱歉我要再提出一個請求，請問願意加入我們"鐫刻者"嗎?,37
#,37,我,左,求之不得!!,38
#,38,,,End,0
